dataset,taxa,sites,windows,taxa_sites,estimate_seconds,estimate_minutes,estimate_hours,low_seconds,high_seconds
101928601_NT_AL,155,1869,8,289695,1631.3942870380788,27.18990478396798,0.4531650797327997,1520.8134353689434,1956.3632908865204
101928603_NT_AL,153,645,3,98685,555.736706592633,9.262278443210551,0.15437130738684252,518.0671874536467,666.4378444955428
101929926_NT_AL,43,474,2,20382,114.7796073746876,1.9129934562447934,0.03188322427074656,106.99949753944598,137.64337180430817
10196_NT_AL,158,1638,7,258804,1457.4340843390564,24.29056807231761,0.4048428012052935,1358.6447827101747,1747.7507210500528
10197_NT_AL,159,732,3,116388,655.4297391387076,10.923828985645127,0.18206381642741878,611.0027239535394,785.9894395819753
10198_NT_AL,159,3699,15,588141,3312.069132614863,55.20115221024772,0.9200192035041286,3087.567043584894,3971.8236844449816
10199_NT_AL,154,2217,9,341418,1922.6682362207384,32.044470603678974,0.5340745100613162,1792.343953043007,2305.658164786738
1019_NT_AL,158,912,4,144096,811.4651312070937,13.52441885345156,0.22540698089085937,756.4615639998042,973.1066285699927
10200_NT_AL,157,489,2,76773,432.341026247517,7.20568377079195,0.12009472951319916,403.0356404963147,518.4621030091331
10201_NT_AL,155,564,3,87420,492.298757565263,8.204979292754382,0.1367496548792397,458.92925497489784,590.3632402675214
10202_NT_AL,39,924,4,36036,202.93385984467875,3.3822309974113125,0.056370516623521875,189.17838746597369,243.35769533608328
10203_NT_AL,162,1416,6,229392,1291.8027521781148,21.53004586963525,0.3588340978272541,1204.2404444886956,1549.1261085729498
10204_NT_AL,149,381,2,56769,319.690095724347,5.32816826207245,0.08880280436787416,298.0205316365818,383.3714343027559
10205_NT_AL,160,663,3,106080,597.3810592830371,9.956350988050618,0.16593918313417697,556.8887596400957,716.3776312923663
10206_NT_AL,161,1236,5,198996,1120.630102498937,18.677168374982283,0.3112861395830381,1044.6703960533605,1343.8563642218678
10207_NT_AL,156,5952,24,928512,5228.841271842112,87.14735453070188,1.4524559088450313,4874.414554967426,6270.411266841419
10208_NT_AL,158,3459,14,546522,3077.695053558484,51.29491755930806,0.8549152926551343,2869.079550301889,3690.762969543426
10209_NT_AL,141,360,2,50760,285.85089148950755,4.764181524825125,0.07940302541375209,266.47505127574715,342.7915588650124
10210_NT_AL,160,3276,13,524160,2951.765234104418,49.196087235073634,0.8199347872512273,2751.6856358687082,3539.748295797575
10213_NT_AL,161,930,4,149730,843.192552851142,14.0532092141857,0.23422015356976164,786.0384047974314,1011.1540604582016
102157402_NT_AL,154,519,3,79926,450.09689427089006,7.501614904514835,0.12502691507524724,419.58796194376214,539.7548883736206
10217_NT_AL,151,756,3,114156,642.860409158318,10.714340152638634,0.17857233587731056,599.2853812733292,770.916335575145
