dataset,taxa,sites,windows,taxa_sites,cpu_seconds,gpu_seconds
10040_NT_AL,160,1470,6,235200,1514.8540249830821,1324.5100409442903
100423062_NT_AL,20,354,2,7080,45.60019769081727,39.87045531413935
10042_NT_AL,161,1923,8,309603,1994.061865207641,1743.5046012180064
10046_NT_AL,150,2775,11,416250,2680.9438261020746,2344.07867577832
10047_NT_AL,108,438,2,47304,304.6711513511893,266.3887031327751
10048_NT_AL,153,1506,6,230418,1484.0545694241148,1297.58058934652
100499483_NT_AL,148,5169,21,765012,4927.217293198799,4308.1040622571145
10049_NT_AL,149,981,4,146169,941.431539021055,823.1390653689879
1004_NT_AL,143,2379,10,340197,2191.108821161435,1915.792272105122
100500938_NT_AL,90,204,1,18360,118.25136011347529,103.39287564514102
100505478_NT_AL,120,369,2,44280,285.1944567442639,249.35928832063422
100505741_NT_AL,148,1332,6,197136,1269.6949960419424,1110.1556608486123
100505753_NT_AL,141,3372,14,475452,3062.2464961150354,2677.4700169517205
100505876_NT_AL,128,240,1,30720,197.85848489574948,172.99722983762157
100505993_NT_AL,143,507,2,72501,466.9576176245682,408.28359897322275
100506013_NT_AL,151,162,1,24462,157.55254744530677,137.75580196249672
100506049_NT_AL,157,798,4,125286,806.9302779508096,705.5381164530031
100506374_NT_AL,28,489,2,13692,88.18614502580085,77.10540595497118
100506564_NT_AL,156,1665,7,259740,1672.9089474876944,1462.7050936856715
100506581_NT_AL,134,723,3,96882,623.9884678929037,545.5832558961085
100506658_NT_AL,157,1641,7,257637,1659.3641430041084,1450.862216916514
100507003_NT_AL,148,2055,9,304140,1958.8762889385823,1712.740152435359
100507027_NT_AL,141,138,1,19458,125.32325517908508,109.57617507097788
100507096_NT_AL,158,660,3,104280,671.6368100562746,587.2445028472389
100507290_NT_AL,138,3915,16,540270,3479.7201703980004,3042.4874142048116
100507341_NT_AL,154,285,2,43890,282.68258144773586,247.1630344262113
100507537_NT_AL,86,105,1,9030,58.159574173457614,50.851724786253996
100507588_NT_AL,139,903,4,125517,808.4180810110608,706.8389745289306
100507650_NT_AL,160,936,4,149760,964.5601138667788,843.3614954584052
100507747_NT_AL,107,699,3,74793,481.719715521087,421.190814168139
10050_NT_AL,127,1506,6,191262,1231.8622896526965,1077.0766983464575
10051_NT_AL,160,3912,16,625920,4031.3666297508958,3524.81855794154
10052_NT_AL,161,1197,5,192717,1241.2335167205129,1085.2704147987279
100533177_NT_AL,141,1017,4,143397,923.57790229804,807.5287684578587
10054_NT_AL,160,1941,8,310560,2000.2256207429675,1748.8938703897056
10056_NT_AL,161,1773,7,285453,1838.5188179995566,1607.505802371048
10057_NT_AL,156,4320,17,673920,4340.520512400504,3795.1267295628236
1005_NT_AL,158,2364,10,373512,2405.6809378379294,2103.403037471019
10060_NT_AL,159,4770,19,758430,4884.824567040471,4271.038054223546
100652824_NT_AL,154,3744,15,576576,3713.5564383870983,3246.94175751486
